guess,totalgreen,totalyellow,greenrank,yellowrank
SIRES,789,1654,#574,#1142
SITES,746,1585,#803,#1356
SIXES,673,1161,#1288,#2596
SIXTH,631,1172,#1674,#2576
SIXTY,766,1014,#700,#2831
SIZED,739,1339,#844,#2172
SIZES,673,1157,#1288,#2601
SKATE,985,1683,#77,#1045
SKEIN,628,1704,#1700,#982
SKIES,720,1232,#960,#2452
SKIFF,517,749,#2486,#3047
SKILL,713,921,#1016,#2944
SKIMS,546,807,#2323,#3019
SKINS,633,908,#1649,#2952
SKIPS,526,846,#2436,#3000
SKIRT,791,1468,#565,#1776
SKULK,593,839,#1961,#3004
SKULL,642,839,#1577,#3004
SKUNK,613,745,#1813,#3048
SLABS,715,1174,#1001,#2570
SLACK,857,1281,#326,#2339
SLAGS,758,1165,#741,#2588
SLAIN,894,1662,#220,#1118
SLAKE,1065,1564,#11,#1428
SLANG,842,1461,#379,#1810
SLANT,1016,1581,#42,#1372
SLAPS,731,1204,#876,#2500
SLASH,911,1080,#177,#2737
SLATE,1125,1883,#1,#548
SLATS,802,1415,#521,#1956
SLAVE,1058,1535,#16,#1538
SLAYS,700,1268,#1109,#2378
SLEDS,626,1462,#1714,#1802
SLEEK,850,1187,#346,#2541
SLEEP,816,1318,#473,#2224
SLEET,977,1439,#85,#1883
SLEPT,783,1761,#609,#818
SLICE,1064,1528,#12,#1560
SLICK,792,1123,#561,#2663
SLIDE,1010,1530,#47,#1555
SLILY,969,795,#101,#3027
SLIME,1009,1475,#48,#1746
SLIMY,902,1035,#198,#2802
SLING,777,1303,#636,#2273
SLINK,824,1171,#443,#2577
SLIPS,666,1046,#1347,#2784
SLITS,737,1257,#854,#2399
SLOOP,752,1028,#777,#2812
SLOPE,997,1550,#62,#1480
SLOPS,674,1082,#1280,#2732
SLOTH,826,1479,#434,#1735
SLUGS,622,925,#1746,#2938
SLUMP,632,1119,#1661,#2677
SLUMS,615,925,#1794,#2938
SLUNG,706,1221,#1062,#2474
SLUNK,753,1089,#771,#2718
SLUSH,775,840,#645,#3003
SLYLY,797,481,#542,#3096
SMACK,737,1139,#854,#2632
SMALL,798,1137,#537,#2635
SMART,876,1684,#273,#1040
SMASH,791,938,#565,#2931
SMEAR,703,2155,#1088,#133
SMELL,672,1379,#1306,#2071
SMELT,750,1775,#785,#788
SMILE,956,1528,#120,#1560
SMIRK,684,1274,#1210,#2361
SMITE,940,1583,#134,#1362
SMITH,698,1301,#1120,#2280
SMOCK,680,1017,#1238,#2824
SMOKE,888,1300,#236,#2282
SMOKY,781,860,#621,#2991
SMOTE,948,1619,#127,#1250
SNACK,782,1282,#614,#2336
SNAGS,683,1166,#1214,#2586
SNAIL,853,1703,#337,#984
SNAKE,990,1565,#72,#1424
SNAKY,883,1125,#254,#2661
SNAPS,656,1205,#1454,#2497
SNARE,1066,1980,#10,#347
SNARL,843,1866,#372,#581
SNEAK,674,1881,#1280,#551
SNEER,849,1605,#354,#1294
SNIFF,582,950,#2057,#2918
SNIPE,914,1515,#170,#1604
SNOBS,583,1053,#2047,#2776
SNORE,1009,1858,#48,#598
SNORT,864,1705,#304,#979
SNOUT,807,1456,#503,#1828
SNOWS,585,991,#2021,#2864
SNOWY,801,1019,#524,#2823
SNUFF,511,868,#2523,#2984
SOAPY,1017,1204,#40,#2500
SOARS,888,1483,#236,#1719
SOBER,903,1749,#194,#850
SOCKS,598,907,#1926,#2953
SOFAS,656,1235,#1454,#2443
SOGGY,833,675,#415,#3067
SOILS,823,1174,#445,#2570
SOLAR,840,1985,#384,#340
SOLES,816,1520,#473,#1579
SOLID,785,1460,#602,#1813
SOLOS,683,886,#1214,#2976
SOLVE,949,1465,#126,#1788
SONGS,673,997,#1288,#2854
SONNY,969,730,#101,#3054
SOOTH,896,979,#214,#2874
SOOTY,1031,821,#31,#3014
SORES,863,1624,#308,#1230
SORRY,972,963,#92,#2898
SORTS,740,1449,#834,#1850
SOUGH,773,1083,#659,#2729
SOULS,752,1092,#777,#2712
SOUND,838,1180,#393,#2559
SOUPS,665,936,#1354,#2932
SOUSE,1087,1094,#5,#2706
SOUTH,817,1333,#467,#2187
SOWED,821,1414,#452,#1963
SOWER,880,1712,#262,#958
SPACE,1029,1543,#32,#1513
SPADE,975,1545,#90,#1506
SPAKE,965,1421,#107,#1941
SPANK,789,1186,#574,#2545
SPANS,738,1123,#848,#2663
SPARE,1041,1836,#24,#644
SPARK,769,1431,#683,#1908
SPARS,718,1368,#979,#2103
SPASM,737,936,#854,#2932
SPAWN,683,1283,#1214,#2332
SPEAK,649,1737,#1518,#879
SPEAR,723,2154,#938,#134
SPECK,631,1380,#1674,#2070
SPEED,765,1163,#701,#2592
SPELL,692,1378,#1159,#2076
SPELT,770,1774,#679,#792
SPEND,678,1547,#1253,#1495
SPENT,790,1680,#570,#1054
SPERM,599,1795,#1919,#738
SPICE,964,1385,#108,#2059
SPICY,857,945,#326,#2927
SPIED,826,1471,#434,#1763
SPIES,760,1289,#735,#2315
SPIKE,900,1263,#203,#2389
SPILL,753,978,#771,#2878
SPILT,831,1374,#421,#2083
SPINE,996,1433,#65,#1904
SPINS,673,965,#1288,#2895
SPINY,889,993,#232,#2862
SPIRE,976,1678,#87,#1061
SPITE,960,1582,#116,#1368
SPITS,637,1114,#1622,#2683
SPLIT,727,1478,#910,#1737
SPOIL,771,1437,#670,#1894
SPOKE,908,1299,#184,#2286
SPOOK,686,754,#1194,#3043
SPOOL,735,1045,#867,#2785
SPOON,701,1005,#1102,#2841
SPOOR,760,1171,#735,#2577
SPORE,984,1714,#78,#954
SPORT,839,1561,#390,#1442
SPOTS,645,1150,#1553,#2613
SPOUT,782,1312,#614,#2247
SPRAY,808,1522,#499,#1574
SPREE,1016,1269,#42,#2373
SPRIG,600,1462,#1911,#1802
SPUNK,653,946,#1480,#2925
SPURN,648,1442,#1526,#1873
SPURS,582,1128,#2057,#2649
SPURT,760,1443,#735,#1868
SQUAD,612,1194,#1826,#2525
SQUAT,724,1327,#932,#2205
SQUAW,532,1131,#2410,#2643
STABS,633,1295,#1649,#2302
STACK,775,1402,#645,#1989
STAFF,640,1228,#1591,#2462
STAGE,999,1754,#56,#834
STAGS,676,1286,#1268,#2320
STAID,812,1651,#486,#1154
STAIN,812,1783,#486,#776
STAIR,871,1949,#285,#412
STAKE,983,1685,#80,#1036
STALE,1059,1949,#14,#412
STALK,787,1544,#583,#1509
STALL,836,1400,#401,#2004
STAMP,686,1480,#1194,#1731
STAND,822,1569,#446,#1407
STANK,807,1450,#503,#1848
STARE,1059,2100,#14,#189
STARK,787,1695,#583,#1007
STARS,736,1632,#862,#1209
START,914,1464,#170,#1794
STATE,1043,1521,#22,#1577
STAVE,976,1656,#87,#1135
STAYS,618,1389,#1775,#2044
STEAD,682,2120,#1222,#166
STEAK,667,2001,#1340,#315
STEAL,716,2292,#994,#48
STEAM,623,2123,#1735,#164
STEED,783,1427,#609,#1921
STEEL,817,1599,#467,#1312
STEEP,734,1439,#869,#1883
STEER,842,1725,#379,#918
STEMS,543,1528,#2337,#1560
STEPS,523,1567,#2454,#1416
STERN,676,2188,#1268,#103
STEWS,509,1475,#2534,#1746
STICK,710,1244,#1031,#2425
STIFF,575,1070,#2123,#2748
STILE,994,1791,#67,#754
STILL,771,1242,#670,#2427
STING,695,1424,#1143,#1930
STINK,742,1292,#823,#2307
STINT,869,1061,#292,#2763
STIRS,671,1474,#1317,#1752
STOCK,718,1280,#979,#2341
STOIC,690,1646,#1173,#1171
STOLE,1002,1827,#53,#665
STONE,1022,1733,#36,#896
STONY,915,1293,#163,#2305
STOOD,719,1137,#969,#2635
STOOL,753,1309,#771,#2260
STOOP,670,1149,#1325,#2614
STOPS,592,1203,#1973,#2502
STORE,1002,1978,#53,#353
STORK,730,1573,#881,#1395
STORM,686,1695,#1194,#1007
STORY,895,1538,#218,#1531
STOUT,800,1093,#527,#2709
STOVE,919,1534,#158,#1540
STRAP,627,1952,#1706,#406
STRAW,596,1877,#1942,#555
STRAY,826,1786,#434,#767
STREW,697,1892,#1126,#531
STRIP,631,1725,#1674,#918
STRUT,725,1277,#921,#2354
STUCK,639,1162,#1597,#2594
STUDS,534,1101,#2396,#2698
STUDY,750,1129,#785,#2645
STUFF,504,988,#2560,#2868
STUMP,550,1240,#2292,#2433
STUNG,624,1342,#1727,#2166
STUNT,798,979,#537,#2874
STYLE,822,1755,#446,#829
SUAVE,1037,1401,#27,#1995
SUCKS,507,801,#2544,#3021
SUGAR,717,1656,#989,#1135
SUING,756,1169,#754,#2580
SUITE,1039,1591,#26,#1338
SUITS,716,1123,#994,#2663
SULKS,542,920,#2346,#2945
SULKY,758,948,#741,#2920
SULLY,834,777,#407,#3035
SUNNY,878,624,#266,#3075
SUPER,810,1691,#493,#1019
SURER,897,1388,#211,#2048
SURGE,928,1561,#149,#1442
SURLY,881,1316,#259,#2232
SWAIN,781,1426,#621,#1925
SWAMP,655,1123,#1467,#2663
SWANS,725,1030,#921,#2810
SWARD,771,1457,#670,#1825
SWARM,712,1460,#1019,#1813
SWAYS,587,1032,#2010,#2807
SWEAR,710,2061,#1031,#231
SWEAT,763,1896,#710,#525
SWEEP,703,1082,#1088,#2732
SWEET,864,1203,#304,#2502
SWELL,679,1285,#1243,#2325
SWEPT,670,1525,#1325,#1569
SWIFT,728,1042,#895,#2789
SWILL,740,885,#834,#2977
SWIMS,573,771,#2140,#3038
SWINE,983,1340,#80,#2171
SWING,664,1067,#1369,#2751
SWIRL,740,1471,#834,#1763
SWISH,733,686,#873,#3065
SWOON,688,912,#1180,#2950
SWOOP,639,792,#1597,#3030
SWORD,714,1335,#1006,#2183
SWORE,971,1621,#98,#1240
SWORN,714,1467,#1006,#1782
SWUNG,593,985,#1961,#2871
SYNOD,566,1397,#2188,#2010
SYRUP,509,1445,#2534,#1863
TABBY,641,1089,#1583,#2718
TABLE,851,1907,#342,#506
TABOO,527,1506,#2433,#1641
TACIT,719,1391,#969,#2038
TACKS,455,1722,#2797,#929
TAILS,680,1989,#1238,#338
TAINT,878,1312,#266,#2247
TAKEN,668,1965,#1334,#388
TAKES,602,2066,#1896,#226
TALES,673,2335,#1288,#34
TALKS,490,1841,#2631,#633
TALLY,782,1283,#614,#2332
TALON,606,2072,#1872,#222
TAMED,702,1877,#1098,#555
TAMER,761,2175,#729,#111
TANKS,514,1743,#2501,#861
TAPER,758,2197,#741,#93
TAPES,633,2132,#1649,#154
TARDY,763,1682,#710,#1049
TARES,720,2439,#960,#12
TARRY,829,1363,#427,#2110
TARTS,597,1781,#1931,#781
TASKS,461,1416,#2778,#1952
TASTE,844,1720,#370,#937
TASTY,737,1280,#854,#2341
TAUNT,807,1230,#503,#2458
TAWNY,741,1336,#827,#2178
TAXED,670,1713,#1325,#956
TAXES,604,1946,#1880,#417
TEACH,774,1932,#653,#458
TEAMS,638,2108,#1606,#181
TEARS,705,2454,#1069,#9
TEASE,1040,1597,#25,#1322
TEEMS,512,1642,#2518,#1185
TEENS,599,1743,#1919,#861
TEETH,644,1180,#1560,#2559
TELLS,526,1826,#2436,#667
TEMPI,381,1938,#3000,#440
TEMPO,427,1936,#2897,#446
TEMPS,402,1880,#2956,#552
TENDS,484,2023,#2668,#280
TENET,835,1102,#404,#2696
TENOR,649,2296,#1518,#44
TENSE,885,1457,#246,#1825
TENTH,615,1506,#1794,#1641
TENTS,534,1735,#2396,#890
TEPEE,916,807,#162,#3019
TEPID,562,1813,#2210,#701
TERMS,506,2170,#2551,#114
TERSE,908,1659,#184,#1127
TESTS,481,1408,#2679,#1978
TESTY,697,1436,#1126,#1897
TEXTS,441,1444,#2849,#1865
THANK,712,1397,#1019,#2010
THEFT,603,1263,#1889,#2389
THEIR,650,2138,#1506,#149
THEME,771,1235,#670,#2443
THERE,838,1581,#393,#1372
THESE,850,1379,#346,#2071
THICK,615,1191,#1794,#2529
THIEF,677,1631,#1260,#1212
THIGH,597,968,#1931,#2890
THINE,919,1644,#158,#1179
THING,600,1371,#1911,#2090
THINK,647,1239,#1538,#2435
THIRD,642,1603,#1577,#1298
THONG,608,1407,#1857,#1979
THORN,650,1771,#1506,#797
THOSE,919,1723,#158,#928
THREE,939,1480,#136,#1731
THREW,602,1839,#1896,#637
THROB,467,1739,#2754,#873
THROE,806,2026,#512,#278
THROW,469,1677,#2740,#1064
THUMB,422,1174,#2911,#2570
THUMP,455,1187,#2797,#2541
THYME,660,1507,#1407,#1639
TIARA,685,1737,#1204,#879
TIBIA,478,1465,#2698,#1788
TICKS,376,1578,#3012,#1382
TIDAL,571,1931,#2162,#462
TIDES,572,2007,#2149,#303
TIERS,540,2396,#2365,#19
TIGER,687,2033,#1187,#270
TIGHT,535,1066,#2388,#2755
TILDE,744,1874,#817,#563
TILED,660,1958,#1407,#400
TILES,594,2191,#1954,#100
TILLS,487,1526,#2646,#1567
TILTS,471,1533,#2731,#1545
TIMED,623,1733,#1735,#896
TIMES,557,1966,#2243,#385
TIMID,526,1017,#2436,#2824
TINGE,774,1721,#653,#933
TINTS,495,1435,#2606,#1900
TIPSY,675,1320,#1274,#2220
TIRED,707,2062,#1049,#229
TIRES,641,2295,#1583,#46
TITHE,716,1477,#994,#1742
TITLE,814,1566,#480,#1421
TOADS,674,1833,#1280,#649
TOAST,930,1339,#142,#2172
TODAY,761,1575,#729,#1390
TODDY,689,948,#1175,#2920
TOILS,675,1815,#1274,#695
TOKEN,663,1791,#1377,#754
TOLLS,561,1496,#2215,#1675
TOMBS,421,1520,#2914,#1579
TOMES,631,1936,#1674,#446
TONED,758,1830,#741,#655
TONES,692,2063,#1159,#228
TONGS,525,1638,#2446,#1199
TONIC,596,1705,#1942,#979
TOOLS,683,1379,#1214,#2071
TOOTH,748,722,#796,#3057
TOPAZ,504,1543,#2560,#1513
TOPIC,532,1600,#2410,#1310
TOQUE,749,1499,#792,#1666
TORCH,677,1664,#1260,#1114
TORSO,645,1568,#1553,#1412
TORTS,592,1607,#1973,#1288
TOTAL,671,1637,#1317,#1201
TOTEM,679,1483,#1243,#1719
TOUCH,673,1362,#1288,#2114
TOUGH,625,1309,#1720,#2260
TOURS,604,1884,#1880,#545
TOWED,673,1640,#1288,#1193
TOWEL,707,1812,#1049,#702
TOWER,732,1938,#875,#440
TOWNS,520,1549,#2469,#1489
TOXIC,503,1414,#2568,#1963
TOYED,676,1776,#1268,#786
TRACE,1037,2007,#27,#303
TRACK,765,1602,#701,#1301
TRACT,892,1371,#228,#2090
TRADE,983,2009,#80,#301
TRAIL,836,2023,#401,#280
TRAIN,802,1983,#521,#343
TRAIT,914,1501,#170,#1661
TRAMP,676,1680,#1268,#1054
TRAMS,659,1901,#1420,#518
TRAPS,639,1940,#1597,#433
TRASH,819,1816,#464,#691
TRAYS,608,2004,#1857,#309
TREAD,672,2320,#1306,#38
TREAT,784,1970,#606,#373
TREED,773,1627,#659,#1222
TREES,707,1860,#1049,#592
TREND,686,2011,#1194,#298
TRESS,612,1872,#1826,#569
TRIAD,733,1920,#873,#479
TRIAL,767,2092,#693,#202
TRIBE,881,1805,#259,#715
TRICE,972,1849,#92,#617
TRICK,700,1444,#1109,#1865
TRIED,834,1935,#407,#451
TRIES,768,2168,#689,#117
TRILL,761,1442,#729,#1873
TRIPE,897,1835,#211,#645
TRIPS,574,1782,#2130,#778
TRITE,968,1563,#104,#1431
TROLL,769,1478,#683,#1737
TROOP,660,1349,#1407,#2152
TROTH,734,1317,#869,#2227
TROTS,653,1546,#1480,#1502
TROUT,790,1293,#570,#2305
TRUCE,901,1767,#201,#803
TRUCK,629,1362,#1691,#2114
TRUER,822,1541,#446,#1522
TRULY,806,1469,#512,#1773
TRUMP,540,1440,#2365,#1880
TRUNK,661,1410,#1396,#1974
TRUSS,602,1390,#1896,#2040
TRUST,780,1222,#627,#2472
TRUTH,655,1199,#1467,#2515
TRYST,679,1268,#1243,#2378
TUBES,539,1804,#2372,#716
TUFTS,395,1127,#2971,#2653
TULIP,497,1592,#2596,#1333
TULLE,793,1443,#558,#1868
TUNED,667,1724,#1340,#925
TUNES,601,1957,#1905,#402
TUNIC,505,1599,#2552,#1312
TURNS,537,1835,#2379,#645
TUSKS,365,1136,#3030,#2638
TUTOR,573,1510,#2140,#1622
TWAIN,633,1652,#1649,#1149
TWANG,581,1451,#2065,#1842
TWEED,604,1296,#1880,#2299
TWICE,803,1518,#518,#1588
TWIGS,432,1412,#2875,#1971
TWINE,835,1566,#404,#1421
TWINS,512,1513,#2518,#1613
TWIRL,592,1697,#1973,#1000
TWIST,682,973,#1222,#2884
TYING,492,1456,#2618,#1828
TYPED,487,1680,#2646,#1054
TYPES,421,1913,#2914,#492
UDDER,478,1621,#2698,#1240
ULCER,597,2032,#1931,#271
ULTRA,423,2283,#2907,#53
UNCLE,613,1791,#1813,#754
UNCUT,411,1211,#2934,#2490
UNDER,535,1968,#2388,#378
UNDID,379,1156,#3004,#2603
UNDUE,569,1299,#2171,#2286
UNFIT,454,1475,#2802,#1746
UNION,479,1312,#2692,#2247
UNITE,746,1849,#803,#617
UNITS,423,1796,#2907,#735
UNITY,639,1409,#1597,#1976
UNSAY,518,1675,#2482,#1071
UNTIE,662,1933,#1384,#455
UNTIL,439,1819,#2853,#686
UPPER,492,1573,#2618,#1395
UPSET,556,1833,#2250,#649
URBAN,490,1814,#2631,#699
URGED,597,1725,#1931,#918
URGES,531,1958,#2416,#400
URINE,913,1794,#175,#741
USAGE,709,1850,#1035,#613
USERS,320,1970,#3068,#373
USHER,429,2128,#2887,#160
USING,405,1520,#2948,#1579
USUAL,416,1577,#2925,#1384
USURP,327,1353,#3064,#2140
USURY,526,1187,#2436,#2541
UTTER,554,1824,#2271,#673
VAGUE,712,1510,#1019,#1622
VALES,585,2008,#2021,#302
VALET,763,1908,#710,#503
VALID,554,1533,#2271,#1545
VALUE,744,1733,#817,#896
VALVE,718,1427,#979,#1921
VANES,609,1910,#1845,#499
VAPID,514,1330,#2501,#2196
VASES,556,1583,#2250,#1362
VAULT,699,1480,#1114,#1731
VAUNT,719,1386,#969,#2052
VEILS,552,1818,#2282,#687
VEINS,572,1724,#2149,#925
VELDT,550,1694,#2292,#1009
VENAL,568,1990,#2177,#336
VENOM,443,1674,#2842,#1073
VENTS,446,1891,#2830,#534
VENUE,728,1083,#895,#2729
VERBS,382,1852,#2998,#610
VERGE,748,1188,#796,#2539
VERSE,820,1332,#460,#2191
VERVE,725,979,#921,#2874
VESTS,393,1564,#2976,#1428
VEXED,542,834,#2346,#3007
VEXES,476,1067,#2712,#2751
VIALS,578,1676,#2090,#1068
VICAR,495,1795,#2606,#738
VICES,471,1745,#2731,#856
VIDEO,509,1736,#2534,#884
VIEWS,351,1670,#3046,#1089
VIGIL,477,864,#2703,#2987
VILER,631,1929,#1674,#465
VILLA,418,1440,#2921,#1880
VINES,530,1766,#2421,#807
VIOLA,540,1795,#2365,#738
VIPER,591,1726,#1982,#915
VIRUS,389,1640,#2987,#1193
VISIT,558,1038,#2236,#2797
VISOR,469,1757,#2740,#824
VISTA,373,1920,#3017,#479
VITAL,509,1823,#2534,#675
VIVID,435,468,#2864,#3097
VIXEN,503,1374,#2568,#2083
VIZOR,429,1374,#2887,#2083
VOCAL,544,1639,#2334,#1196
VODKA,394,1397,#2975,#2010
VOGUE,707,1336,#1049,#2178
VOICE,898,1399,#208,#2006
VOILE,910,1541,#178,#1522
VOLTS,457,1659,#2788,#1127
VOMIT,624,1267,#1727,#2381
VOTED,650,1636,#1506,#1206
VOTER,709,1934,#1035,#453
VOTES,584,1869,#2034,#572
VOUCH,585,1035,#2021,#2802
VOWED,585,1313,#2021,#2243
VOWEL,619,1485,#1769,#1710
VYING,404,1129,#2950,#2645
WADED,656,1319,#1454,#2221
WAFER,678,1803,#1253,#720
WAFTS,430,1563,#2882,#1431
WAGED,646,1552,#1545,#1472
WAGER,705,1850,#1069,#613
WAGES,580,1785,#2070,#771
WAGON,513,1522,#2510,#1574
WAIFS,529,1423,#2427,#1934
WAILS,619,1662,#1769,#1118
WAIST,809,1511,#496,#1619
WAITS,603,1717,#1889,#944
WAIVE,859,1422,#323,#1937
WAKED,607,1506,#1862,#1641
WAKEN,607,1638,#1862,#1199
WAKES,541,1739,#2359,#873
WALKS,429,1514,#2887,#1608
WALLS,505,1343,#2552,#2163
WALTZ,466,1433,#2758,#1904
WANDS,463,1540,#2769,#1525
WANED,702,1677,#1098,#1064
WANES,636,1910,#1631,#499
WANTS,513,1735,#2510,#890
WARDS,486,1742,#2651,#865
WARES,659,2112,#1420,#179
WARMS,485,1687,#2656,#1028
WARNS,572,1788,#2149,#762
WARTS,536,1937,#2384,#444
WASPS,389,1197,#2987,#2521
WASTE,783,1876,#609,#557
WATCH,578,1442,#2090,#1873
WATER,741,2108,#827,#181
WAVED,638,1439,#1606,#1883
WAVER,697,1737,#1126,#879
WAVES,572,1672,#2149,#1081
WAXED,609,1386,#1845,#2052
WAXEN,609,1518,#1845,#1588
WAXES,543,1619,#2337,#1250
WEARS,644,2127,#1560,#162
WEARY,860,1740,#318,#869
WEAVE,884,1028,#248,#2812
WEDGE,706,900,#1062,#2964
WEEDS,452,1370,#2809,#2097
WEEDY,668,983,#1334,#2872
WEEKS,442,1246,#2846,#2420
WEEPS,431,1354,#2878,#2136
WEIGH,600,1394,#1911,#2028
WEIRD,645,1736,#1553,#884
WELCH,534,1563,#2396,#1431
WELLS,465,1499,#2764,#1666
WENCH,558,1465,#2236,#1788
WHACK,619,1022,#1769,#2819
WHALE,903,1569,#194,#1407
WHARF,574,1383,#2130,#2061
WHEAT,638,1873,#1606,#566
WHEEL,661,1219,#1396,#2477
WHELP,471,1537,#2731,#1534
WHERE,777,1254,#636,#2407
WHICH,584,694,#2034,#3062
WHIFF,419,690,#2919,#3064
WHILE,838,1411,#393,#1973
WHIMS,448,1163,#2825,#2592
WHINE,858,1317,#324,#2227
WHIPS,428,1202,#2895,#2509
WHIRL,615,1448,#1794,#1853
WHIRR,640,964,#1591,#2897
WHISK,578,955,#2090,#2911
WHIST,705,1207,#1069,#2496
WHITE,822,1466,#446,#1785
WHOLE,846,1447,#361,#1856
WHOOP,514,769,#2501,#3039
WHORE,846,1598,#361,#1318
WHOSE,858,1396,#324,#2020
WICKS,315,1251,#3072,#2415
WIDEN,577,1579,#2105,#1381
WIDER,636,1745,#1631,#856
WIDOW,364,1081,#3033,#2734
WIDTH,469,1276,#2740,#2355
WIELD,545,1685,#2325,#1036
WIGHT,474,1222,#2717,#2472
WILDS,360,1494,#3035,#1683
WILES,533,1864,#2406,#584
WILLS,426,1199,#2899,#2515
WINCE,761,1447,#729,#1856
WINCH,519,1165,#2473,#2588
WINDS,384,1396,#2995,#2020
WINDY,600,1009,#1911,#2835
WINES,557,1766,#2243,#807
WINGS,390,1341,#2986,#2169
WINKS,374,1272,#3014,#2367
WIPED,559,1428,#2228,#1915
WIPES,493,1661,#2613,#1122
WIRED,646,1735,#1545,#890
WIRES,580,1968,#2070,#378
WISER,629,1919,#1691,#483
WISPS,310,1053,#3078,#2776
WITCH,499,1298,#2586,#2290
WITTY,630,854,#1685,#2996
WIVES,493,1528,#2613,#1560
WOMAN,535,1493,#2388,#1687
WOMEN,636,1508,#1631,#1632
WOODS,556,912,#2250,#2950
WOODY,772,525,#665,#3091
WOOED,795,1049,#546,#2780
WOOER,854,1347,#336,#2155
WORDS,481,1568,#2679,#1412
WORDY,697,1181,#1126,#2557
WORKS,471,1444,#2731,#1865
WORLD,613,1475,#1813,#1746
WORMS,480,1513,#2685,#1613
WORRY,763,862,#710,#2989
WORSE,882,1710,#257,#964
WORST,737,1557,#854,#1452
WORTH,612,1534,#1826,#1540
WOULD,609,1173,#1845,#2574
WOUND,629,1079,#1691,#2738
WRACK,704,1275,#1077,#2359
WRAPS,578,1613,#2090,#1265
WRAPT,756,1513,#754,#1613
WRATH,730,1595,#881,#1328
WREAK,596,1874,#1942,#563
WRECK,578,1517,#2090,#1597
WREST,729,1860,#890,#592
WRING,624,1297,#1727,#2294
WRIST,790,1460,#570,#1813
WRITE,907,1719,#189,#941
WRITS,584,1666,#2034,#1103
WRONG,632,1333,#1661,#2187
WROTE,915,1755,#163,#829
WROTH,673,1473,#1288,#1755
YACHT,499,1660,#2586,#1123
YARDS,435,1932,#2864,#458
YARNS,521,1978,#2465,#353
YAWNS,413,1586,#2930,#1354
YEARN,659,2216,#1420,#84
YEARS,593,2317,#1961,#40
YEAST,783,2015,#609,#289
YELLS,414,1689,#2929,#1025
YELPS,327,1968,#3064,#378
YIELD,494,1875,#2610,#561
YOKED,551,1522,#2289,#1574
YOKES,485,1755,#2656,#829
YOLKS,373,1530,#3017,#1555
YOUNG,516,1282,#2494,#2336
YOURS,492,1747,#2618,#855
YOUTH,557,1422,#2243,#1937
ZEBRA,391,2017,#2983,#287
ZONES,576,1678,#2112,#1061
